,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
836,"vanilla essence,lamb,celery,breadcrumb,pink grapefruit juice",," 500 g lamb, cut into 1 1/2-inch cubes, with skin ( or more to taste ) | 4 -5 tablespoons red wine ( a nice dark green is ideal ) or 4 -5 tablespoons vegetable oil | 50 g all-purpose flour | 5 fluid ounces of pink grapefruit juice | 1 egg yolk, plus | nutmeg | 1/2 teaspoon vanilla essence "," marinate lamb cubes in wine for 20 minutes in a large bowl, then drain well.  mix flour, red wine, juice, egg yolk and vanilla essence in a bowl and form into 3 balls.  roll out each balls slightly in plastic to fit the palm of your hand.  in a separate bowl, combine 1 tbsp water, 2 oz flour, 1 tsp vanilla essence, and a pinch of salt.  roll each ball into round balls and place into an 8cm nonstick pan.  bake at 220c for 15 minutes, rotating the pan once and rotating the pan several times between batches to avoid overcrowding. 


",Sicilian Lamb Balls for Spicy Pastries
837,"white wine vinegar,bacon,asparagus,basil,chicken bouillon,fennel",," 2 teaspoons bacon fat or 2 teaspoons bacon fat, chopped | 2 tablespoons finely chopped asparagus | 1 tablespoon chopped fresh basil, plus more for serving | 1 tablespoon mustard | 2 chicken bouillon cubes, finely chopped | 1/4 cup dry white wine vinegar "," in a skillet, cook bacon fat, asparagus onion, and 1 tablespoon of fresh basil in hot drizzle on medium heat for 8 minutes or until bacon fat is crisp ; drain and let cool slightly.  mix the mustard with the bouillon in a bowl, stir in the vinegar and the dry white wine.  whisk over medium heat until mixture is smooth.  cover the skillet and cook over a low heat until heated through, about 5 minutes.  season to taste with salt and pepper.  add a little more bacon fat if necessary.  sprinkle a thin layer of bacon fat on the top of asparagus mixture ; cook 2 minutes over low heat and serve. 


",Asparagus Baked in White Wine vinegar
838,"vinegar,fruit,golden raisin,pace picante sauce,rice wine,tart apple,chipotle pepper,coffee",," 2 cups rice wine vinegar | 1/4 cup coffee, brewed | 2 cups pace picante sauce | 1/2 cup golden raisin | 3 cups fruit, peeled and sliced | 1/4 cup hot tapioca wine | 1/4 cup roasted chipotle pepper, finely chopped "," combine all ingredients in a large bowl and mix well.  marinate for 1 hour or overnight in the refrigerator.  in a medium bowl pour out any marinade from mixture.  serve chilled. 


",Chipotle Rice Vinegar Salad
839,"filling,salmon steak,pineapple juice,dark brown sugar,angostura bitter",," 1/2 ounce australian fruit flavored carbonated carbonated beverage 
    - 1/2 pound thinly sliced salmon steak, cut into 2 inch strips | 3 ounces dark brown sugar, packed | 1/2 cup chopped peeled pineapple juice | 1 1/2 cups reduced-sodium fat-free filling "," mix marinade ingredients in a large bowl.  set aside.  cut marinade into chunks until dissolved and mix with salmon on mediumlow heat.  cook and stir salmon and orange marinade over high heat until lightly browned.  pour caramel over salmon steak.  cover and refrigerate for 30 minutes to 3 hours.  combine pineapple juice and orange marinade in a medium saucepan and simmer until thickened.  stir brown sugar and pineapple juice mixture over simmering salmon ; reduce heat until thickened a little before serving. 


",Tequila Cocktail
840,"seasoning salt,pepperoncini pepper,plain flour,curry powder,garam masala,poblano chile,vanilla sugar,yeast",," 2 cups plain flour | 1/2 teaspoon baking powder | 1/2 teaspoon sugar | 2 tablespoons vegan sugar | 1 tablespoon dry yeast | 1 teaspoon salt | 1 teaspoon pepper | 1/3 cup vegetable oil | 1/2 tablespoon curry powder | 2 poblano chiles, finely chopped | 1/2 cup canned canned pumpkin puree ( such as hellmann's and other pumpkin puree ) | 1/2 cup sweetened flaked coconut "," in a small bowl, combine the flour, sugar and yeast.  stir in salt, pepper, and oil.  stir into the yeast mixture.  add curry powder and sweetened flaked coconut.  stir the dough into the flour mixture.  cover and dough will be soft.  punch down dough and form into a round about 18x12.  press out to form a 10 inch circle.  preheat oven to 400 degreesf 175 degrees c.  remove from pan, cover loosely with foil and place on the cookie sheets.  bake 10 to 12 minutes in the preheated oven, or until light brown and lightly golden in color.  cool.  store in an airtight container. 


",Pumpkin Spice Cookies
841,"shell pasta,butter bean,lettuce,pine nut,hash brown,table cream,sherry wine,lemon zest",," 3 pounds skinless, boneless meaty flank steaks | 2 tablespoons butter beans, cut into 1/4 inch cubes | 2 shallots, sliced | 3 garlic cloves, minced | 2 tablespoons water | 2 cans diced tomatoes with water | 2 tablespoons prepared mustard | 1/2 teaspoon dry sherry wine | 1 tablespoon sugar | 1 teaspoon salt | 2 cups lettuce, finely shredded | 2 tablespoons finely chopped cilantro "," in a saucepan, melt half the butter over medium heat.  combine beef and 1 tablespoon of the butter in a dutch oven.  cook and stir over medium heat until browned, 3 to 5 minutes.  season with salt and pepper to taste.  heat remaining 2 tablespoon butter in a small saucepan over medium heat.  cook and stir shallots and garlic in hot butter until garlic is fragrant, about 5 minutes.  season with water.  stir in diced tomatoes with water, mustard, sherry, sugar, and salt.  bring to a simmer, reduce heat to low, and simmer until thickened, about 20 minutes.  meanwhile, cut steaks into 2 inch pieces, if desired.  in a large serving bowl, combine lettuce and 14 cup chopped cilantro.  pour sauce over meat slices, and toss well. 


",French Steaks With Tomato Sauce
842,"star anise,oregano,heavy whipping cream,brown bread,beef brisket,red potato,pork shoulder",," 6 lbs boneless pork shoulder, cut into 1-inch cubes | 1 1/2 cups heavy whipping cream | 3 red potatoes - peeled and quartered ( about 3 pounds ) | 1/2 teaspoon dried oregano | red star anise | 1 1/2 cups brown bread | 8 ounces smoked lean ground beef brisket ( or turkey or chuck ) "," in a large heavybottomed pot over mediumhigh heat over medium heat, saute pork cubes until the pork is browned on all sides with browned sides, 23 minutes.  pour off fat, then add the cream.  mix in the potatoes and oregano.  add ground beef, stirring to coat.  cover, and cook on low heat for 1015 minutes, stirring often.  cook until meat is tender, about 20 minutes longer.  stir bread into the browned side of the meat with the ground beef, then transfer the turkey and meat to a serving platter.  return pan to the heat and cook in the oven at 400 for 30 minutes or until gravy is hot, but not brown.  sprinkle ground beef slices, and smoked sausage and meat over the meat and potato mixture.  place about 1 quarts of gravy into the bottom of a shallow 3 quart baking dish and sprinkle with about 14 cup of bread.  cover and let stand.  when the gravy is ready, turn the baking dish over to coat the top.  repeat with remaining gravy in the baking dish.  return pan to high heat.  add remaining bread, and cook until golden brown ; pour into the top platter, and serve. 


",Sausage & Potato Stuffed with Gravy
843,"pear,ginger garlic paste,sun tomato,thyme leave",," 2 lbs firm ripe bella-shaped bella pear, quartered | 2 pounds fresh skinless, round, medium-sliced pears, rinsed and blanched | 4 lemons, zest of | 2 cups fresh ginger-garlic paste | 4 -5 drops sun-dried tomatoes, to taste | 1 teaspoon fresh thyme leave | 1 1/2 cups fresh mint, chopped "," cut bella into 3inch squares.  arrange pear in shallow baking dish, overlapping as needed.  in saucepan over medium heat, combine pears, lemons, gingergarlic paste, sundried tomatoes and thyme leave.  cook over medlow heat, stirring occasionally, until apples do not open until well softened, about 5 minutes.  pour sauce over pear mixture and toss gently to combine.  season with salt and pepper.  bake 375 to 1 - 12 hours, covered, in 350f oven until pears are tender, about 45 minutes.  sprinkle with additional mint. 


",Pear With Sundried Tomatoes
844,"bicarbonate soda,corn syrup",, 1 cup low-cal sugar-free corn syrup | 1/3 cup bicarbonate of soda | 1 cup corn syrup ," mix corn syrup with bicarbonate of soda in small bowl until sugar and soda are dissolved.  add soda mixture to soda mixture along with syrup.  place on greased 8 square baking sheet ; bake at 350 degrees for 6 to 8 minutes.  remove baking sheet from oven and pour mixture in shallow dish lined with foil.  sprinkle with cheese or your favorite toppings. 


",Easy Low Cal Sugar Maple Cakes
845,"flour,velveeta cheese,coleslaw mix,potato,yellow cake mix",," 500 g potato rounds | 500 g coleslaw mix ( or any type of cottage cheese ) | 1 pinch margarine, melted | 1/4 cup sour cream | 3 tablespoons all-purpose flour to make a stiff mix ( or sour cream substitute, if desired ) | 50 g polenta or 50 g feta cheese | 2 tablespoons white flour "," peel potatoes and cut into 1cm rounds 1cm thick.  sprinkle the coleslaw mix into a 9x13cm baking dish and line with potatoes.  mix the margarine and sour cream in a bowl until well combined.  beat the mashed potatoes in a separate bowl with the flour and mix to make a soft mix.  spread the top layer of mashed potatoes generously on top of the mashed potatoes.  spoon the polenta over the polenta and top with the polenta, then the polenta and the potatoes.  sprinkle with the remaining flour and spread evenly.  top with 1 inch of the feta cheese and dot with the remaining half of the polenta layer.  bake in a preheated oven at 220c for 1012 minutes or until golden. 


",Grandma's Greek Potato Cake
846,"mustard powder,cayenne pepper,pasta,cardamom powder,half",," 2 potatoes, peeled and chopped ( about 2 1/2 cups ) | 1/2 cup half-and-half | 1/4 teaspoon cardamom powder | 1/4 teaspoon mustard powder | 1/8 teaspoon cayenne pepper, divided ( to taste ) | 1/2 teaspoon black pepper, divided ( to taste ) | 1/2 cup pasta sauce ( or your favorite sauce, such as alfredo, parmesan, or other dry white sauce ) | 8 slices tomatoes, chopped "," preheat oven to 350 degrees  line a baking sheet with parchment paper or silicone or use a small nonreactive container.  place potatoes in mediumsize soup casserole dish or baking dish, cover with boiling water.  cover and cook on low for 810 hours or until tender.  drain and return to sauce pot.  stir in remaining ingredients.  cover and continue to cook on high until flavors combine, about 20 minutes or until potato is tender.  to serve place tomato slices cutside up on a serving platter, if desired. 


",Greek Sous Vide Pasta
847,"sauerkraut,head leaf lettuce",, 1 head leaf lettuce | 1 head leaf lettuce | 3/4 cup sauerkraut ," soak the head of lettuce in cold water until soft is about 3 hours, drain, slice and mix with  cup sauerkraut.  refrigerate. 


",Spicy Sauerkraut Relish
848,"fish bouillon cube,water,mayonnaise,beef broth,cream chicken soup,caper salt,white pearl onion,kaffir lime leaf",," 1/2 cup finely chopped shallot | 4 garlic cloves, minced | 2 ounces mango chutney ( to serve ) | 2 tablespoons shallots, minced ( see note ) | 2 cups water | 3/4 cup white pearl onion, thinly sliced ( reserve a little of the zest ) | 1 egg | 3 cups beef broth, or as needed | 3/4 cup mayonnaise or 3/4 cup sour cream | 1/2 tablespoon capers and salt, divided | salt to taste | fresh ground black pepper to taste | 1 1/2 cups cooked white rice | 1/2 cup sour cream or 1/2 cup plain yogurt "," place the shallot, garlic, mango chutney, shallots, water, pearl onion, egg, beef broth, mayonnaise, capers, salt, and pepper in a blender ; blend until smooth.  transfer to a 9x13 inch baking dish.  spread rice on top of sauce layer.  bake at 350 for 15 minutes in the preheated oven, or until rice is a deep golden brown.  let rest in bowl, then remove and discard bay or peel.  meanwhile, toast the rice in a skillet over medium high heat until evenly heated, 5 minutes.  serve with the rice mixture. 


",Chinese Chicken (Shoupang)
849,"chinese five spice powder,heavy whipping cream,sharp cheddar cheese,tomato sauce",, 2 cans diced tomatoes with sauce | 1/2 cup light cream | 1/4 cup heavy whipping cream | 3 -4 tablespoons chili-style hot pepper sauce or 3 -4 tablespoons regular hot sweet chili sauce | 1 teaspoon chinese five spice powder ( or more ) | 2 teaspoons ginger | 1 teaspoon cocoa powder ," combine all ingredients in the order specified.  blend on low heat.  pour into a greased 1 quart casserole dish in layers.  bake at 350f till soft or cool, about 20 minutes. 


",Easy Low Fat Mexican Chocolate Cream Sauce
850,"olive oil cooking spray,monterey jack pepper cheese,dark rum,grape,yellow rice,chile pepper",," 3 cups cooked yellow rice | 6 ounces sweet roasted green chilies, stemmed ( mild, mild, sweet or hot are good ) | 6 ounces monterey jack pepper cheese, freshly grated | salt & freshly ground black pepper | 6 tablespoons olive oil cooking spray ( optional ) | 1 can fresh squeezed grape "," in the large bowl of a food processor, combine cooked rice, sweet roasted chiles, monterey jack pepper, salt and pepper.  process on high for 3 minutes or just until evenly mixed and cooked.  transfer the chile salad to two shallow salad plates to cool.  in a large bowl, whisk together the olive oil with the rice mixture and gently stir until evenly combined.  add the grape to the bowl.  refrigerate for 12 hours.  season the chilled salad with salt and pepper.  heat a large skillet over mediumhigh heat.  add the olive oil to the pan and quickly drizzle in the grape salads and swirl the avocado over the salad.  add the remaining ingredients and serve immediately. 


",Sweet and Sour Grilled Green Chile Salad With White Rice
